Invoice No,Country Code,Sales ($),Margin ($),Margin (%),Vendor,Customer,Partner,End User,Invoice Date,Type,oSpace Program Name,ProgramID
320644-01,AU,7263.9025,726.4265,0.10000499,Imperva,NTT Australia Pty Ltd,NTT Australia Pty Ltd,Suncorp Group Limited,20/02/2023,Target,,
315533-02,AU,40041.0816,2002.0416,0.049999688,Micro Focus,NTT Australia Pty Ltd,NTT Australia Pty Ltd,United Super Pty Ltd (T/as Cbus),20/02/2023,Target,,
320482-01,AU,22746.5953,2223.7317,0.097761079,Netskope,Tecala ICT Pty Limited,Tecala ICT Pty Limited,Royal Far West,20/02/2023,Target,,
317906-03,AU,4080.7256,81.6145,0.019999997,Darktrace,Telstra Corporation Ltd,TELSTRA BROADCAST SERVICES PTY LIMITED,QUEANBEYAN-PALERANG REGIONAL COUNCIL,20/02/2023,Target,,
318282-08,AU,5935.9949,890.4051,0.150000988,"Crowdstrike, Inc.",VINet Solutions Pty Ltd,VINet Solutions Pty Ltd,,20/02/2023,Target,,
320581-01,AU,90112.1929,9403.5249,0.104353524,Imperva,Accenture Australia Pty Ltd,Accenture Australia Pty Ltd,Ampol Australia Petroleum Pty Ltd,20/02/2023,Control,,
313958-04,AU,219953.9016,4113.6624,0.018702384,Oracle,Accenture Australia Pty Ltd,Accenture Australia Pty Ltd,Australia and New Zealand Banking Group Limited,20/02/2023,Control,,
318593-08,AU,1344.8706,134.4868,0.099999807,"Crowdstrike, Inc.",ACUMENIS PTY LTD,ACUMENIS PTY LTD,ACUMENIS PTY LTD,20/02/2023,Others,,
320395-01,AU,41718.0069,1256.0839,0.030108914,Okta,Airloom Holdings Pty Ltd,Airloom Holdings Pty Ltd,Boral Limited,20/02/2023,Others,,
318195-08,AU,2976.2676,465.4127,0.156374615,"Crowdstrike, Inc.",ALLSTARS TRADING PTY LTD - trading as Zirilio,ALLSTARS TRADING PTY LTD - trading as Zirilio,ALLSTARS TRADING PTY LTD - trading as Zirilio,20/02/2023,Control,,
320622-01,AU,40328.029,5587.7159,0.138556633,"Forescout Technologies, Inc",Alphawest Services Pty Ltd,Alphawest Services Pty Ltd,Toyota Motor Corporation Australia Limited,20/02/2023,Control,,
320629-01,AU,1164.8,101.92,0.0875,SolarWinds Europe,Aquion Pty Ltd,Aquion Pty Ltd,Blacktown City Council,20/02/2023,Control,,
320537-01,AU,40.3558,6.0534,0.150000743,"Crowdstrike, Inc.",Asta Solutions Pty Ltd,Asta Solutions Pty Ltd,Asta Solutions Pty Ltd,20/02/2023,Others,,
320297-04,AU,502.237,77.572,0.154452977,"Crowdstrike, Inc.",Asta Solutions Pty Ltd,Asta Solutions Pty Ltd,Asta Solutions Pty Ltd,20/02/2023,Others,,
319968-03,AU,786.9393,118.0393,0.149997973,"Crowdstrike, Inc.",Asta Solutions Pty Ltd,Asta Solutions Pty Ltd,Asta Solutions Pty Ltd,20/02/2023,Others,,
320480-01,AU,9536.9052,524.5404,0.055001113,Arista,Burgess Systems Consulting Pty Ltd,Burgess Systems Consulting Pty Ltd,NetBI Pty Ltd,20/02/2023,Others,,
320539-01,AU,11390.49,1341.99,0.117816705,Micro Focus,Civica Pty Ltd,Civica Pty Ltd,Banana Shire Council,20/02/2023,Others,,
320656-01,AU,0,-713.09,-Infinity,Arista,CTM Professional Services Pty Ltd,CTM Professional Services Pty Ltd,REA Group,20/02/2023,Control,,
320610-01,AU,14917.0002,1491.7008,0.100000052,Oracle,Datacom Systems (AU) Pty Ltd,Datacom Systems (AU) Pty Ltd,Department of Primary Industries & Regional Development,20/02/2023,Control,,
320518-01,AU,86190.0183,7243.44,0.084040358,Rubrik,Datacom Systems (AU) Pty Ltd,Datacom Systems (AU) Pty Ltd,Brisbane Airport Corporation Pty Limited,20/02/2023,Control,,
319882-01,AU,1135.03,-332.8613,-0.293262116,Arista,Datacom Systems (AU) Pty Ltd,Datacom Systems (AU) Pty Ltd,Liquid Capital Australia Pty Ltd,20/02/2023,Control,,
310558-35,AU,5340,240,0.04494382,Oracle,DXC Red Rock Pty Ltd,DXC Red Rock Pty Ltd,CIRCULAR ECONOMY SYSTEMS PTY LTD,20/02/2023,Others,,
305874-59,AU,12761.71,573.56,0.04494382,Oracle,DXC Red Rock Pty Ltd,DXC Red Rock Pty Ltd,,20/02/2023,Others,,
317288-10,AU,156.3092,23.4499,0.150022519,"Crowdstrike, Inc.",FALCORE INVESTMENTS PTY LTD,FALCORE INVESTMENTS PTY LTD,FALCORE INVESTMENTS PTY LTD,20/02/2023,Others,,
317230-10,AU,158.7384,23.8064,0.149972533,"Crowdstrike, Inc.",FALCORE INVESTMENTS PTY LTD,FALCORE INVESTMENTS PTY LTD,FALCORE INVESTMENTS PTY LTD,20/02/2023,Others,,
316591-12,AU,313.0176,46.9506,0.149993483,"Crowdstrike, Inc.",FALCORE INVESTMENTS PTY LTD,FALCORE INVESTMENTS PTY LTD,FALCORE INVESTMENTS PTY LTD,20/02/2023,Others,,
316863-01,AU,42919.6448,1790.6218,0.041720331,Arista,Field Solutions Group Pty Ltd,Field Solutions Group Pty Ltd,The Internet Society of Australia,20/02/2023,Others,,
320433-01,AU,37443.1523,2245.7533,0.059977677,Okta,IDENTIFLY PTY LTD,IDENTIFLY PTY LTD,ROYAL FLYING DOCTOR SERVICE OF AUSTRALIA,20/02/2023,Others,,
320639-01,AU,39729.2005,3342.5005,0.084132086,SolarWinds Europe,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,ASAHI BEVERAGES PTY LTD,20/02/2023,Control,,
320638-01,AU,2351.3773,295.6973,0.125754935,SolarWinds Europe,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,Mars Australia Pty Ltd,20/02/2023,Control,,
320621-01,AU,40987.4891,3278.9991,0.079999999,Micro Focus,K J ROSS & ASSOCIATES PTY LTD,K J ROSS & ASSOCIATES PTY LTD,DEPARTMENT OF HEALTH,20/02/2023,Others,,
316737-02,AU,30329.0388,1972.656,0.065041824,Micro Focus,Kapish Services Pty Ltd,Kapish Services Pty Ltd,Goulburn Valley Region Water Corporation,20/02/2023,Others,,
318998-03,AU,992.1,148.8189,0.150003931,"Crowdstrike, Inc.",Logi-tech Pty Ltd,Logi-tech Pty Ltd,Logi-tech Pty Ltd,20/02/2023,Others,,
316738-11,AU,2471.8698,222.5068,0.090015583,"Crowdstrike, Inc.",Mac Centre Pty Ltd,Mac Centre Pty Ltd,Mac Centre Pty Ltd,20/02/2023,Others,,
320320-01,AU,20737.6152,2630.8982,0.126865996,Corelight,NEWGEN SYSTEMS PTY LTD,NEWGEN SYSTEMS PTY LTD,The Trustee for LOCAL AUTHORITIES SUPERANNUATION FUND (T/A  - VISION SUPER),20/02/2023,Others,,
320600-01,AU,106217.052,5310.852,0.049999994,Oracle,PATH INFOTECH PTY LTD,PATH INFOTECH PTY LTD,COMPASS GROUP (AUSTRALIA) PTY LTD,20/02/2023,Others,,
320632-01,AU,24359.4415,1461.5665,0.06,Oracle,Prescience Technology Pty Limited,Prescience Technology Pty Limited,Fortescue Future Industries Pty Ltd,20/02/2023,Others,,
320631-01,AU,4454.2978,267.2578,0.059999985,Oracle,Prescience Technology Pty Limited,Prescience Technology Pty Limited,KAEFER INTEGRATED SERVICES PTY LTD,20/02/2023,Others,,
320630-01,AU,4871.8883,292.3133,0.06,Oracle,Prescience Technology Pty Limited,Prescience Technology Pty Limited,SERVICE STREAM UTILITIES PTY LTD & JOHN HOLLAND PTY LTD & SERVICE STREAM MAINTENANCE PTY LIMITED & WSP AUSTRALIA PTY LIMITED,20/02/2023,Others,,
320430-01,AU,14870.9547,743.5569,0.050000616,"Crowdstrike, Inc.",Protectera Pty Ltd,Protectera Pty Ltd,HASTINGS CO-OPERATIVE LIMITED,20/02/2023,Others,,
320316-02,AU,6.4752,0.9714,0.150018532,"Crowdstrike, Inc.",Reseau Pty Ltd,Reseau Pty Ltd,Reseau Pty Ltd,20/02/2023,Others,,
319962-03,AU,17.7984,2.6696,0.14999101,"Crowdstrike, Inc.",Reseau Pty Ltd,Reseau Pty Ltd,Reseau Pty Ltd,20/02/2023,Others,,
319852-03,AU,16.1808,2.4272,0.150004944,"Crowdstrike, Inc.",Reseau Pty Ltd,Reseau Pty Ltd,Reseau Pty Ltd,20/02/2023,Others,,
319544-04,AU,17.6344,1.7632,0.09998639,"Crowdstrike, Inc.",Reseau Pty Ltd,Reseau Pty Ltd,Reseau Pty Ltd,20/02/2023,Others,,
C320646-01,AU,0,7679.89,Infinity,Rubrik,Sekuro Operations Pty Ltd,Sekuro Operations Pty Ltd,,20/02/2023,Control,,
320647-01,AU,0,-12589.9836,-Infinity,Rubrik,Sekuro Operations Pty Ltd,Sekuro Operations Pty Ltd,CBRE Pty Ltd,20/02/2023,Control,,
320504-01,AU,520.7404,52.0833,0.100017782,"Crowdstrike, Inc.",Southern Cyber Pty Ltd,Southern Cyber Pty Ltd,Southern Cyber Pty Ltd,20/02/2023,Others,,
320611-01,AU,136642.6807,17457.1011,0.127757308,Netskope,The Missing Link Security Pty Ltd,The Missing Link Security Pty Ltd,Boral Limited,20/02/2023,Control,,
320609-01,AU,20320.9192,1625.6792,0.080000279,Oracle,Truis Pty Ltd,Truis Pty Ltd,MATER MISERICORDIAE HEALTH,20/02/2023,Control,,
316589-02,AU,53300.9465,1600.7865,0.030032984,Okta,Trustee for the P & R Williamson Family Trust ( trading as Insync Solutions Pty Ltd),Trustee for the P & R Williamson Family Trust ( trading as Insync Solutions Pty Ltd),RETURN TO WORK CORPORATION OF SOUTH AUSTRALIA,20/02/2023,Others,,
319282-01,AU,125000,3599.71,0.02879768,Micro Focus,WyldLynx Pty Ltd,WyldLynx Pty Ltd,WyldLynx Pty Ltd,20/02/2023,Others,,
320561-01,AU,3247.49,1460.39,0.449698075,Micro Focus,Xavier College Ltd,Xavier College Ltd,Xavier College Ltd,20/02/2023,Others,,
320530-01,AU,4099.91,0,0,Micro Focus,Leading Edge Information Pty Ltd,Leading Edge Information Pty Ltd,Fusion Sport Pty Ltd,21/02/2023,Target,,
320397-01,AU,0,0,NaN,Rubrik,Nexon Asia Pacific Pty. Ltd.,Nexon Asia Pacific Pty. Ltd.,Nexon Asia Pacific Pty. Ltd.,21/02/2023,Target,,
C320676-01,AU,-2039.6965,2037.4204,-0.998884099,Imperva,NTT Australia Pty Ltd,NTT Australia Pty Ltd,,21/02/2023,Target,,
320687-01,AU,2039.7,-2037.4169,-0.998880669,Imperva,NTT Australia Pty Ltd,NTT Australia Pty Ltd,AMP SERVICES LIMITED,21/02/2023,Target,,
311057-38,AU,3341.6842,166.6842,0.049880297,Darktrace,Telstra Corporation Ltd,TELSTRA BROADCAST SERVICES PTY LIMITED,THE TRUSTEE FOR TARASCIO NO2 FAMILY TRUST (Trading as Salta Property Group),21/02/2023,Target,,
320654-01,AU,17624,1542.1,0.0875,SolarWinds Europe,Aquion Pty Ltd,Aquion Pty Ltd,Decipha Pty Ltd,21/02/2023,Control,,
320645-01,AU,1465.9344,146.5938,0.100000246,Imperva,Baidam Solutions Pty Ltd,Baidam Solutions Pty Ltd,QIC LIMITED,21/02/2023,Control,,
316828-02,AU,35035.6379,1824.8121,0.052084455,Arista,CTM Professional Services Pty Ltd,CTM Professional Services Pty Ltd,REA Group,21/02/2023,Control,,
320651-01,AU,4477.5018,358.191,0.079997958,Netskope,Equate Technologies Pty Ltd,Equate Technologies Pty Ltd,ISAS - Integrated Switchgear and Systems Pty Ltd,21/02/2023,Others,,
320636-01,AU,1096.771,87.739,0.079997556,Micro Focus,FYB Pty Ltd,FYB Pty Ltd,Metro Tasmania Pty Ltd,21/02/2023,Others,,
C320690-01,AU,-2039.7,-278.608,0.136592636,Imperva,NTT Security (Australia) Pty Ltd,NTT Australia Pty Ltd,,21/02/2023,Target,,
C320688-01,AU,0,4077.1169,Infinity,Imperva,NTT Security (Australia) Pty Ltd,NTT Australia Pty Ltd,,21/02/2023,Target,,
320686-01,AU,0,-4077.1169,-Infinity,Imperva,NTT Security (Australia) Pty Ltd,NTT Australia Pty Ltd,AMP SERVICES LIMITED,21/02/2023,Target,,
320538-01,AU,9976.752,1265.3077,0.126825614,"Forescout Technologies, Inc",Sekuro Operations Pty Ltd,Sekuro Operations Pty Ltd,Genworth Financial Mortgage Insurance Pty Ltd,21/02/2023,Control,,
320300-01,AU,23890.6556,2389.0656,0.100000002,Micro Focus,TL Consulting Group NSW Pty Ltd,TL Consulting Group NSW Pty Ltd,TAL Life Limited,21/02/2023,Others,,
320660-01,AU,2625.6,229.74,0.0875,SolarWinds Europe,DATA#3 LIMITED,DATA#3 LIMITED,Department of Human Services (SA),22/02/2023,Target,,
320664-01,AU,392.45,39.95,0.101796407,SolarWinds Europe,Virtunet Pty Ltd - t/as VIRTU IT SOLUTIONS,Virtunet Pty Ltd - t/as VIRTU IT SOLUTIONS,Ettason Pty Ltd,22/02/2023,Target,,
320653-01,AU,0,-108,-Infinity,Arista,CTM Professional Services Pty Ltd,CTM Professional Services Pty Ltd,IOOF Services Co Pty Ltd,22/02/2023,Control,,
320652-01,AU,0,-210,-Infinity,Arista,CTM Professional Services Pty Ltd,CTM Professional Services Pty Ltd,REA Group,22/02/2023,Control,,
320663-01,AU,-4.689,-4.689,1,"Amazon Web Services, Inc.",CyberCX Pty Ltd,CyberCX Pty Ltd,,22/02/2023,Control,,
320669-01,AU,4.7351,4.7351,1,"Amazon Web Services, Inc.",Dept Digital Products Holdings Pty Ltd,Dept Digital Products Holdings Pty Ltd,,22/02/2023,Others,,
320665-01,AU,-552.0427,-552.0427,1,"Amazon Web Services, Inc.",INFOREMOST PTY LTD,INFOREMOST PTY LTD,,22/02/2023,Others,,
320666-01,AU,36.8187,36.8187,1,"Amazon Web Services, Inc.",INFOXCHANGE,INFOXCHANGE,,22/02/2023,Others,,
320671-01,AU,3757,472,0.125632153,SolarWinds Europe,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,Southern Cross Austereo Pty Ltd,22/02/2023,Control,,
320661-01,AU,4741.92,596.25,0.125740206,SolarWinds Europe,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,Essential Energy,22/02/2023,Control,,
320667-01,AU,551.9558,551.9558,1,"Amazon Web Services, Inc.",TechConnect IT Solutions Pty Ltd,TechConnect IT Solutions Pty Ltd,,22/02/2023,Others,,
320043-01,AU,1771.0856,399.8802,0.225782537,Arista,The Frame Group Pty Limited,The Frame Group Pty Limited,Tabcorp Holdings Limited,22/02/2023,Others,,
320628-01,AU,176114.9629,19751.9758,0.112153877,Netskope,The Missing Link Security Pty Ltd,The Missing Link Security Pty Ltd,Zipmoney Payments Pty Ltd,22/02/2023,Control,,
320662-01,AU,-36.778,-36.778,1,"Amazon Web Services, Inc.",The Trustee for COMUNET UNIT TRUST,The Trustee for COMUNET UNIT TRUST,,22/02/2023,Others,,
320516-01,AU,15563.2095,849.0248,0.054553323,Nozomi Networks,The Trustee for Secolve20 Unit Trust - T/as  Secolve Pty Ltd,The Trustee for Secolve20 Unit Trust - T/as  Secolve Pty Ltd,The Trustee for Secolve20 Unit Trust - T/as  Secolve Pty Ltd,22/02/2023,Others,,
320673-01,AU,709.7528,89.2528,0.125751952,SolarWinds Europe,Theta Systems Limited,Theta Systems Limited,ABN Group,22/02/2023,Others,,
320620-01,AU,452.1112,45.2112,0.100000177,Micro Focus,INTECH SOFTWARE PTY LTD,INTECH SOFTWARE PTY LTD,LAIDLER GREIG ACCOUNTING PTY LTD,23/02/2023,Others,,
320619-01,AU,263.6668,60.2268,0.228420112,Micro Focus,INTECH SOFTWARE PTY LTD,INTECH SOFTWARE PTY LTD,WALKER ACCOUNTANTS & BUSINESS ADVISORS PTY LTD,23/02/2023,Others,,
320617-01,AU,904.1776,90.4176,0.099999823,Micro Focus,INTECH SOFTWARE PTY LTD,INTECH SOFTWARE PTY LTD,MOMENTUM BUILT PTY LTD,23/02/2023,Others,,
315963-02,AU,107048.0548,6422.8927,0.060000088,Netskope,CSO GROUP PTY LTD,CSO GROUP PTY LTD,Structerre Consulting Engineers,24/02/2023,Others,,
320699-01,AU,14582.92,729.1885,0.050002914,Imperva,CyberCX Pty Ltd,CyberCX Pty Ltd,DOWNER EDI ENGINEERING POWER PTY LTD,24/02/2023,Control,,
320681-01,AU,7697.7068,384.8749,0.049998644,"Crowdstrike, Inc.",Datacom Systems (AU) Pty Ltd,Datacom Systems (AU) Pty Ltd,Knox City Council,24/02/2023,Control,,
320684-01,AU,7885.4216,788.5416,0.099999929,SUSE,Department of Primary Industries and Regions,Department of Primary Industries and Regions,Department of Primary Industries and Regions,24/02/2023,Others,,
316642-10,AU,40.6917,6.1006,0.149922466,"Crowdstrike, Inc.",FALCORE INVESTMENTS PTY LTD,FALCORE INVESTMENTS PTY LTD,FALCORE INVESTMENTS PTY LTD,24/02/2023,Others,,
320608-01,AU,4174.5465,333.9525,0.079997312,Micro Focus,FYB Pty Ltd,FYB Pty Ltd,VICTORIAN RAIL TRACK,24/02/2023,Others,,
320695-01,AU,6201,754,0.121593291,SolarWinds Europe,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,ARROW ENERGY PTY LTD,24/02/2023,Control,,
320616-01,AU,452.1112,45.2112,0.100000177,Micro Focus,INTECH SOFTWARE PTY LTD,INTECH SOFTWARE PTY LTD,MAA ACCOUNTANTS PTY LTD,24/02/2023,Others,,
320697-01,AU,2783.043,222.647,0.080001279,Micro Focus,Kapish Services Pty Ltd,Kapish Services Pty Ltd,Merri-Bek City Council,24/02/2023,Others,,
320417-01,AU,10328.6952,314.9472,0.030492448,Oracle,Magenta Technologies Pty Ltd,Magenta Technologies Pty Ltd,Attorney General's D Branch,24/02/2023,Others,,
319790-03,AU,1786.1772,50.4696,0.028255651,Oracle,Magenta Technologies Pty Ltd,Magenta Technologies Pty Ltd,Police Department (VIC),24/02/2023,Others,,
320685-01,AU,452.0914,45.2114,0.100004999,Micro Focus,SystemCraft Pty. Ltd,SystemCraft Pty. Ltd,Art Exhibitions Australia Ltd,24/02/2023,Others,,
320674-01,AU,7787.2978,622.979,0.079999381,Netskope,The Missing Link Security Pty Ltd,The Missing Link Security Pty Ltd,The Missing Link Security Pty Ltd,24/02/2023,Control,,
320706-01,AU,720,63,0.0875,SolarWinds Europe,DATA#3 LIMITED,DATA#3 LIMITED,Arc Infrastructure Pty Ltd,27/02/2023,Target,,
320698-01,AU,4636.524,463.524,0.099972307,Oracle,DATA#3 LIMITED,DATA#3 LIMITED,Health Support Services (WA),27/02/2023,Target,,
320523-01,AU,14018.804,1682.088,0.119987982,GitHub,DATA#3 LIMITED,DATA#3 LIMITED,Visy Industries Australia Pty Ltd,27/02/2023,Target,,
320643-01,AU,61381.6015,2242.6562,0.036536293,"Crowdstrike, Inc.",Kinetic IT Pty Ltd,Kinetic IT Pty Ltd,ST JOHN AMBULANCE WESTERN AUSTRALIA LTD.,27/02/2023,Target,,
320723-01,AU,16102.3562,1766.7546,0.109720253,SolarWinds Europe,NTT Australia Pty Ltd,NTT Australia Pty Ltd,ROY HILL HOLDINGS PTY LTD,27/02/2023,Target,,
320711-01,AU,0,-210,-Infinity,Arista,NTT Australia Pty Ltd,NTT Australia Pty Ltd,SAP Australia Pty Ltd,27/02/2023,Target,,
320707-01,AU,7454.1103,920.7103,0.123517129,SolarWinds Europe,NTT Australia Pty Ltd,NTT Australia Pty Ltd,Woodside Energy LTD.,27/02/2023,Target,,
320719-01,AU,12139.5184,1213.9184,0.099997245,SUSE,Stott & Hoare,Stott & Hoare,Co-Operative Bulk Handling,27/02/2023,Target,,
317314-04,AU,2416.2552,144.9753,0.059999995,Oracle,Accenture Australia Pty Ltd,Accenture Australia Pty Ltd,InvoCare Australia Pty Ltd,27/02/2023,Control,,
320712-01,AU,0,-210,-Infinity,"Forescout Technologies, Inc",Alphawest Services Pty Ltd,Alphawest Services Pty Ltd,Toyota Motor Corporation Australia Limited,27/02/2023,Control,,
320721-01,AU,47238.7033,3129.2033,0.066242362,SolarWinds Europe,Aquion Pty Ltd,Aquion Pty Ltd,Townsville City Council,27/02/2023,Control,,
317367-10,AU,73.692,7.3685,0.099990501,Imperva,Baidam Solutions Pty Ltd,Baidam Solutions Pty Ltd,Emantra Pty Ltd,27/02/2023,Control,,
320464-01,AU,18209.1081,910.4604,0.050000274,"Crowdstrike, Inc.",Brennan IT Pty Ltd,Brennan IT Pty Ltd,Palace Cinemas Pty Ltd,27/02/2023,Control,,
320480-02,AU,0,0,NaN,Arista,Burgess Systems Consulting Pty Ltd,Burgess Systems Consulting Pty Ltd,NetBI Pty Ltd,27/02/2023,Others,,
320714-01,AU,1151.8,116.142,0.100835214,Micro Focus,Capitec Investment 3 Pty Ltd -T/A LaserFast,Capitec Investment 3 Pty Ltd -T/A LaserFast,Nintendo Australia,27/02/2023,Others,,
320713-01,AU,1802.8888,180.2888,0.099999956,SUSE,Capitec Investment 3 Pty Ltd -T/A LaserFast,Capitec Investment 3 Pty Ltd -T/A LaserFast,Nintendo Australia,27/02/2023,Others,,
310255-04,AU,94327.2,5240.4,0.055555556,Oracle,COUNTERPART SOLUTIONS PTY. LTD.,COUNTERPART SOLUTIONS PTY. LTD.,Department of Human Services (VIC),27/02/2023,Others,,
320715-01,AU,761514.4887,78834.007,0.103522662,Netskope,CSO GROUP PTY LTD,CSO GROUP PTY LTD,TPG Telecom Limited,27/02/2023,Others,,
313198-03,AU,112282.8117,2823.3535,0.02514502,Veracode,Cyber Risk Pty Ltd,Cyber Risk Pty Ltd,Bunnings Group Limited,27/02/2023,Others,,
320720-01,AU,14977.455,1883.445,0.125752005,SolarWinds Europe,Datacom Systems (AU) Pty Ltd,Datacom Systems (AU) Pty Ltd,Iluka Resources Limited,27/02/2023,Control,,
320657-01,AU,160468.6705,11341.7705,0.070679033,Okta,Dialog Pty Ltd,Dialog Pty Ltd,Australian Bureau of Statistics,27/02/2023,Others,,
320655-01,AU,3038.71,91.08,0.029973245,Okta,Dialog Pty Ltd,Dialog Pty Ltd,Australian Bureau of Statistics,27/02/2023,Others,,
311984-10,AU,26000.247,1300.026,0.050000525,Oracle,DXC Red Rock Pty Ltd,DXC Red Rock Pty Ltd,Tronox Management Pty Ltd,27/02/2023,Others,,
319672-01,AU,181867.7289,9417.6192,0.051782794,Oracle,Fujitsu Australia Limited (NSW),Fujitsu Australia Limited (NSW),Shared Services,27/02/2023,Others,,
320550-01,AU,2480.9292,136.452,0.05500036,Arista,Intraware Australia Pty Ltd,Intraware Australia Pty Ltd,Edge Digital Technology,27/02/2023,Others,,
320710-01,AU,392.45,49.35,0.125748503,SolarWinds Europe,IT Today (Aust) Pty Ltd,IT Today (Aust) Pty Ltd,Northeast Health Wangaratta,27/02/2023,Others,,
320691-01,AU,2413.174,193.054,0.080000033,Micro Focus,K J ROSS & ASSOCIATES PTY LTD,K J ROSS & ASSOCIATES PTY LTD,IP Australia,27/02/2023,Others,,
310968-35,AU,12600.9,700.05,0.055555556,Oracle,Magia Solutions Pty Ltd,Magia Solutions Pty Ltd,CIRCULAR ECONOMY SYSTEMS PTY LTD,27/02/2023,Others,,
320501-01,AU,71318.9047,3570.3502,0.050061764,Oracle,NTT Com ICT Solutions (Australia) Pty Ltd (NSW),NTT Australia Pty Ltd,Telstra Corporation Limited,27/02/2023,Target,,
320533-01,AU,13956.1768,627.536,0.04496475,Okta,Nuago Pty Ltd,Nuago Pty Ltd,Silver Chain Group Limited,27/02/2023,Others,,
320679-01,AU,4871.8883,292.3133,0.06,Oracle,Prescience Technology Pty Limited,Prescience Technology Pty Limited,FSC Group Pty Ltd,27/02/2023,Others,,
320658-01,AU,91613.64,10553.655,0.11519742,"Forescout Technologies, Inc",Sekuro Operations Pty Ltd,Sekuro Operations Pty Ltd,HEALIUS LIMITED,27/02/2023,Control,,
320678-01,AU,82166.84,4108.34,0.049999976,Oracle,Tech Mahindra Ltd,Tech Mahindra Ltd,LGIA Super,27/02/2023,Control,,
320184-02,AU,1067.6455,85.3623,0.079953786,Imperva,The Missing Link Security Pty Ltd,The Missing Link Security Pty Ltd,PLUMBERS SUPPLIES CO-OPERATIVE LIMITED,27/02/2023,Control,,
320703-01,AU,15638.982,938.342,0.060000197,Micro Focus,WIPRO REVOLUTION IT PTY LTD,WIPRO REVOLUTION IT PTY LTD,Incitec Pivot Explosives Holdings Pty Limited,27/02/2023,Others,,
320680-01,AU,79346.831,7934.1522,0.099993309,Micro Focus,Zero Vector Pty Ltd,Zero Vector Pty Ltd,St Mary MacKillop College,27/02/2023,Others,,
320737-01,AU,2770.8391,360.2091,0.130000006,SUSE,DATA#3 LIMITED,DATA#3 LIMITED,AURIZON HOLDINGS LIMITED,28/02/2023,Target,,
320832-01,AU,0,9775.92,Infinity,Imperva,NTT Australia Pty Ltd,NTT Australia Pty Ltd,Kmart Australia Limited,28/02/2023,Target,,
320732-01,AU,712524.1268,47761.6739,0.067031658,Imperva,NTT Australia Pty Ltd,NTT Australia Pty Ltd,Kmart Australia Limited,28/02/2023,Target,,
320696-01,AU,23175.7878,2317.5788,0.100000001,Gigamon,NTT Australia Pty Ltd,NTT Australia Pty Ltd,TRANSURBAN HOLDINGS LIMITED,28/02/2023,Target,,
